"id","date_etablissement_dpe","consommation_energie","classe_consommation_energie","secteur_activite","annee_construction","surface_habitable","commune"
10678516,2021-01-05,257,"D","\N",2000,"0.00","LA ROCHELLE"
10678517,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"38.50","SOMAIN"
10678560,2021-01-05,219,"D","Autres (théâtres, salles de sport, restaurati",1947,"88.14","CHALON-SUR-SAÔNE"
10678579,2021-01-05,0,"N","Bureau, Administration, Enseignement",1,"275.00","ST REMY"
10678586,2021-01-05,0,"N","Autres",1955,"0.00","BEAUVAIS"
10678597,2021-01-05,0,"N","Bureau, Administration, Enseignement",1,"976.80","SAINTE CATHERINE LES ARRAS"
10678617,2021-01-05,0,"A","\N",1974,"66.00","PARIS 10"
10678742,2021-01-05,385,"F","Autres (théâtres, salles de sport, restaurati",1947,"42.90","BESANCON"
10678755,2021-01-05,0,"A","Magasin de vente",1947,"48.00","Saint Avold"
10678790,2021-01-05,175,"D","Autres (théâtres, salles de sport, restaurati",1947,"264.00","MEYZIEU"
10678795,2021-01-05,0,"N","Bureaux",1900,"0.00","LYON"
10678867,2021-01-05,0,"N","Autres (théâtres, salles de sport, restaurati",1947,"502.70","ST YRIEIX LA PERCHE"
10678955,2021-01-05,420,"F","Autres (théâtres, salles de sport, restaurati",1947,"231.00","ST PRYVE ST MESMIN"
